-e INDICATOR CODE|INDICATOR DESCRIPTION|REGION ID|REGION NAME|REGION ADDITIONAL INFO|BB NUM|UNIT|FREQUENCY|DATE|VALUE
9480|Gross area sown: Foodgrain|869|Andhra Pradesh||18918452|'000 hectares|A|31-03-2014|4122.8
9480|Gross area sown: Foodgrain|869|Andhra Pradesh||18918452|'000 hectares|A|31-03-2015|3963.1
9480|Gross area sown: Foodgrain|869|Andhra Pradesh||18918452|'000 hectares|A|31-03-2016|4136.0
9480|Gross area sown: Foodgrain|869|Andhra Pradesh||18918452|'000 hectares|A|31-03-2017|3970.0
9480|Gross area sown: Foodgrain|869|Andhra Pradesh||18918452|'000 hectares|A|31-03-2018|4144.0
9480|Gross area sown: Foodgrain|869|Andhra Pradesh||18918452|'000 hectares|A|31-03-2019|4023.0
9480|Gross area sown: Foodgrain|869|Andhra Pradesh||18918452|'000 hectares|A|31-03-2020|4089.1
9480|Gross area sown: Foodgrain|869|Andhra Pradesh||18918452|'000 hectares|A|31-03-2021|4074.5
9480|Gross area sown: Foodgrain|869|Andhra Pradesh||18918452|'000 hectares|A|31-03-2022|4010.0
9480|Gross area sown: Foodgrain|870|Andhra Pradesh||29762|'000 hectares|A||
9480|Gross area sown: Foodgrain|1064|Assam||33322695|'000 hectares|A||
9480|Gross area sown: Foodgrain|511|Assam||25793|'000 hectares|A|31-03-2014|2659.9
9480|Gross area sown: Foodgrain|511|Assam||25793|'000 hectares|A|31-03-2015|2700.5
9480|Gross area sown: Foodgrain|511|Assam||25793|'000 hectares|A|31-03-2016|2683.1
9480|Gross area sown: Foodgrain|511|Assam||25793|'000 hectares|A|31-03-2017|2667.0
9480|Gross area sown: Foodgrain|511|Assam||25793|'000 hectares|A|31-03-2018|2643.0
9480|Gross area sown: Foodgrain|511|Assam||25793|'000 hectares|A|31-03-2019|2629.8
9480|Gross area sown: Foodgrain|511|Assam||25793|'000 hectares|A|31-03-2020|2487.7
9480|Gross area sown: Foodgrain|511|Assam||25793|'000 hectares|A|31-03-2021|2558.2
9480|Gross area sown: Foodgrain|511|Assam||25793|'000 hectares|A|31-03-2022|2554.5
9480|Gross area sown: Foodgrain|390|Bihar||24845|'000 hectares|A|31-03-2014|6396.0
9480|Gross area sown: Foodgrain|390|Bihar||24845|'000 hectares|A|31-03-2015|6725.5
9480|Gross area sown: Foodgrain|390|Bihar||24845|'000 hectares|A|31-03-2016|6571.0
9480|Gross area sown: Foodgrain|390|Bihar||24845|'000 hectares|A|31-03-2017|6683.8
9480|Gross area sown: Foodgrain|390|Bihar||24845|'000 hectares|A|31-03-2018|6586.5
9480|Gross area sown: Foodgrain|390|Bihar||24845|'000 hectares|A|31-03-2019|6495.5
9480|Gross area sown: Foodgrain|390|Bihar||24845|'000 hectares|A|31-03-2020|6183.1
9480|Gross area sown: Foodgrain|390|Bihar||24845|'000 hectares|A|31-03-2021|6359.4
9480|Gross area sown: Foodgrain|390|Bihar||24845|'000 hectares|A|31-03-2022|6443.8
9480|Gross area sown: Foodgrain|391|Bihar||25109|'000 hectares|A||
9480|Gross area sown: Foodgrain|389|Chandigarh||33019531|'000 hectares|A|31-03-2014|0.0
9480|Gross area sown: Foodgrain|389|Chandigarh||33019531|'000 hectares|A|31-03-2015|0.0
9480|Gross area sown: Foodgrain|389|Chandigarh||33019531|'000 hectares|A|31-03-2016|0.1
9480|Gross area sown: Foodgrain|389|Chandigarh||33019531|'000 hectares|A|31-03-2017|0.1
9480|Gross area sown: Foodgrain|389|Chandigarh||33019531|'000 hectares|A|31-03-2018|0.1
9480|Gross area sown: Foodgrain|389|Chandigarh||33019531|'000 hectares|A|31-03-2019|0.1
9480|Gross area sown: Foodgrain|389|Chandigarh||33019531|'000 hectares|A|31-03-2020|1.4
9480|Gross area sown: Foodgrain|389|Chandigarh||33019531|'000 hectares|A|31-03-2021|0.6
9480|Gross area sown: Foodgrain|389|Chandigarh||33019531|'000 hectares|A|31-03-2022|0.6
9480|Gross area sown: Foodgrain|834|Chhattisgarh||29051|'000 hectares|A|31-03-2014|4989.4
9480|Gross area sown: Foodgrain|834|Chhattisgarh||29051|'000 hectares|A|31-03-2015|5064.3
9480|Gross area sown: Foodgrain|834|Chhattisgarh||29051|'000 hectares|A|31-03-2016|4989.0
9480|Gross area sown: Foodgrain|834|Chhattisgarh||29051|'000 hectares|A|31-03-2017|5051.0
9480|Gross area sown: Foodgrain|834|Chhattisgarh||29051|'000 hectares|A|31-03-2018|4885.0
9480|Gross area sown: Foodgrain|834|Chhattisgarh||29051|'000 hectares|A|31-03-2019|4674.7
9480|Gross area sown: Foodgrain|834|Chhattisgarh||29051|'000 hectares|A|31-03-2020|4735.5
9480|Gross area sown: Foodgrain|834|Chhattisgarh||29051|'000 hectares|A|31-03-2021|4804.5
9480|Gross area sown: Foodgrain|834|Chhattisgarh||29051|'000 hectares|A|31-03-2022|4760.9
9480|Gross area sown: Foodgrain|771|Goa||28457|'000 hectares|A|31-03-2014|50.9
9480|Gross area sown: Foodgrain|771|Goa||28457|'000 hectares|A|31-03-2015|50.5
9480|Gross area sown: Foodgrain|771|Goa||28457|'000 hectares|A|31-03-2016|41.7
9480|Gross area sown: Foodgrain|771|Goa||28457|'000 hectares|A|31-03-2017|46.7
9480|Gross area sown: Foodgrain|771|Goa||28457|'000 hectares|A|31-03-2018|44.1
9480|Gross area sown: Foodgrain|771|Goa||28457|'000 hectares|A|31-03-2019|42.6
9480|Gross area sown: Foodgrain|771|Goa||28457|'000 hectares|A|31-03-2020|39.1
9480|Gross area sown: Foodgrain|771|Goa||28457|'000 hectares|A|31-03-2021|36.5
9480|Gross area sown: Foodgrain|771|Goa||28457|'000 hectares|A|31-03-2022|36.2
9480|Gross area sown: Foodgrain|1060|Goa, Daman & Diu||31022|'000 hectares|A||
9480|Gross area sown: Foodgrain|688|Gujarat||27920|'000 hectares|A|31-03-2014|4378.0
9480|Gross area sown: Foodgrain|688|Gujarat||27920|'000 hectares|A|31-03-2015|3527.0
9480|Gross area sown: Foodgrain|688|Gujarat||27920|'000 hectares|A|31-03-2016|3140.0
9480|Gross area sown: Foodgrain|688|Gujarat||27920|'000 hectares|A|31-03-2017|3802.0
9480|Gross area sown: Foodgrain|688|Gujarat||27920|'000 hectares|A|31-03-2018|3737.0
